city,job_title,company_name,summary,salary_lower,salary_upper
sydney,Data Operations Analyst,Munich Re,"Data Operations Analyst (m/f). Support the team and Leader, Data Operations by:Efficient and robust processing of claims and cession data in order to ensure...",salary,
sydney,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...",80000,100000
sydney,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,salary,
sydney,Data Analyst,Robert Half Australia,As the Data Analyst you will primarily be responsible for analysis and generating reporting within QlikView....,salary,
sydney,Research & Insights Analyst,News Corp Australia,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,salary,
Darlinghurst,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...",55000,65000
Darlinghurst,Data Analyst,ANZ Banking Group,"Our Data Analysts deeply understand the power of data to generate quality customer insight, manage information, identify trends and make decisions....",salary,
Darlinghurst,Data Scientist - Analytics,Domain Group,"Prior experience creating beautiful data visualisations. As a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning...",salary,
Darlinghurst,Data Analyst,AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",salary,
Darlinghurst,Data Analyst,Amazon.com,"As a Data Analyst you will work closely with the ANZ Alexa Knowledge team, and with other global teams. ï‚§ Data verification & correction to check data conforms...",salary,
Darlinghurst,Data Analyst,"Department of Finance, Services & Innovation","Cleanse and prepare multiple sources of data for matching and/or data minining. Working with large data sets from a broad range of sources, taking into...",salary,
Darlinghurst,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",salary,
Darlinghurst,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large datasets....",70000,90000
Darlinghurst,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,salary,
Darlinghurst,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Migration Testing:. Experience in test case design and execution for Data migration activity....,80000,90000
Darlinghurst,Data Analyst,Datasii,"Extensive experience as a Data Analyst. At the high level, this Data Analyst will be pivotal in driving decision making by key stakeholders across the business...",70000,90000
Darlinghurst,Data Operations Analyst,Munich Re,"Data Operations Analyst (m/f). Support the team and Leader, Data Operations by:Efficient and robust processing of claims and cession data in order to ensure...",salary,
Darlinghurst,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...",80000,100000
Darlinghurst,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,salary,
Darlinghurst,Data Analyst,Robert Half Australia,As the Data Analyst you will primarily be responsible for analysis and generating reporting within QlikView....,salary,
Darlinghurst,Research & Insights Analyst,News Corp Australia,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,salary,
Barangaroo,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...",55000,65000
Barangaroo,Data Analyst,ANZ Banking Group,"Our Data Analysts deeply understand the power of data to generate quality customer insight, manage information, identify trends and make decisions....",salary,
Barangaroo,Data Scientist - Analytics,Domain Group,"Prior experience creating beautiful data visualisations. As a Data Scientist in our team, you will leverage your deep experience in statistics, machine learning...",salary,
Barangaroo,Data Analyst,AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",salary,
Barangaroo,Data Analyst,Amazon.com,"As a Data Analyst you will work closely with the ANZ Alexa Knowledge team, and with other global teams. ï‚§ Data verification & correction to check data conforms...",salary,
Barangaroo,Data Analyst,"Department of Finance, Services & Innovation","Cleanse and prepare multiple sources of data for matching and/or data minining. Working with large data sets from a broad range of sources, taking into...",salary,
Barangaroo,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",salary,
Barangaroo,Junior Data Scientist,The Eclair Group,"Industry experience as a Data Analyst or Junior Data Scientist with a track record of manipulating, processing, and extracting value from large datasets....",70000,90000
Barangaroo,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,salary,
Barangaroo,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Migration Testing:. Experience in test case design and execution for Data migration activity....,80000,90000
Barangaroo,Data Analyst,Datasii,"Extensive experience as a Data Analyst. At the high level, this Data Analyst will be pivotal in driving decision making by key stakeholders across the business...",70000,90000
Barangaroo,Data Operations Analyst,Munich Re,"Data Operations Analyst (m/f). Support the team and Leader, Data Operations by:Efficient and robust processing of claims and cession data in order to ensure...",salary,
Barangaroo,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...",80000,100000
Barangaroo,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,salary,
Barangaroo,Data Analyst,Robert Half Australia,As the Data Analyst you will primarily be responsible for analysis and generating reporting within QlikView....,salary,
Barangaroo,Research & Insights Analyst,News Corp Australia,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,salary,
Mascot,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...",55000,65000
Mascot,Data Analyst,ANZ Banking Group,"Our Data Analysts deeply understand the power of data to generate quality customer insight, manage information, identify trends and make decisions....",salary,
