,Column,city,job_title,company_name,summary,salary_lower,salary_upper
152,152,sydney,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,0,0
153,153,sydney,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,80000,90000
154,154,sydney,Data Analyst,Datasii,Extensive experience as a Data Analyst,70000,90000
155,155,sydney,Data Analyst,Munich Re,Data Analyst,0,0
156,156,sydney,Junior Data Scientist,Intellify,"We also believe great data science comes from great teams, so invest continuously in upskilling and cross-training our data scientists, with lunch & learn...",80000,100000
157,157,sydney,Data Analyst,World Fuel,Sound data entry and analytical skills. Maintaining customer data within both CRM and Invoice databases. Analyzing customer invoice data to identify erroneous...,0,0
158,158,sydney,Data Analyst,Robert Half Australia,As the Data Analyst,600,
159,159,sydney,Analyst,Sydney,Outstanding data extraction and manipulation skills. Interpret and communicate results from data analysis as recommendations to internal customers....,0,0
160,160,Hills District,Analyst,WEST 1 Australia,"Data organization, processing and interpretation across all agencies and client data sets. Working with large data sets and tools;...",55000,65000
161,161,Hills District,Data Analyst,ANZ Banking Group,Our Data Analyst,0,0
162,162,Hills District,Data Scientist,Domain Group,Prior experience creating beautiful data visualisations. As a Data Scientist,0,0
163,163,Hills District,Data & Reporting Analyst (full-time or part-time opportunity),AMP Ltd,"We are currently looking for two Data & Reporting Analysts' to join AMP Bank. Assist with Data Governance initiatives including working on the operating model,...",0,0
164,164,Hills District,Data Analyst,Amazon.com,As a Data Analyst,0,0
165,165,Hills District,Data Analyst,"Department of Finance, Services & Innovation",Cleanse and prepare multiple sources of data for matching and,0,0
166,166,Hills District,Data Analyst,BT Financial Group,"In this role you will you will work closely with the Manager to validate all regulatory responses including formal notices for data from APRA and ASIC, and...",0,0
167,167,Hills District,Junior Data Scientist,The Eclair Group,Industry experience as a Data Analyst,70000,90000
168,168,Hills District,Data Analyst,OpenAgent,Working in the data and business analytics team to answer business questions using data. Review processes that pull data from Adwords and input into our data...,0,0
169,169,Hills District,Data Analyst,Tata Consultancy Services (TCS),Data migration Test Analyst (Automation experience). Data Analyst,80000,90000
170,170,Hills District,Data Analyst,Datasii,Extensive experience as a Data Analyst,70000,90000
171,171,Hills District,Data Analyst,Munich Re,Data Analyst,0,0
